Model #,Description,Ext. Price
S-12988S,"Uline Machine Length Stretch Film Skid Lot - One-Sided Cling, 70   gauge, 20"" x 6,500' 32 rolls/skid ",14464.0
S-8145S,"Uline Machine Length Stretch Film Skid Lot - Blown, 70 gauge, 20'' x   6,000' 32 rolls/skid ",12608.0
S-13318,"20 x 20 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle ",9828.0
H-11565,"Portacool&reg; Apex&trade; Evaporative Cooler - 36"" ",8300.0
S-4606,"10 x 10 x 48"" Tall Corrugated Boxes 20/bundle ",7280.0
S-826,"Steel Strapping - Standard Grade, 3/4"" x .020"" x 2,058' ",6544.0
S-4748,"40 x 8 x 8"" Long Corrugated Boxes 25/bundle ",6306.75
S-12988,"Uline Machine Length Stretch Film - One-Sided Cling, 70 gauge, 20"" x   6,500' ",5504.0
S-4480B,"48 x 40 x 36"" Double Wall Gaylord Bottom 5/bundle ",5380.0
S-3968,"Uline Stretch Wrap - Cast, 120 gauge, 18"" x 1,000' 4 rolls/case ",4812.0
S-7828,"3M 8934 Economy Strapping Tape - 3"" x 60 yds 12 rolls/case ",4541.4
S-3473,"Side Loading Packing List Envelopes - Clear, 6 x 9"" 1,000/carton ",3834.0
S-22574,"48 x 40 x 48"" Double Wall Gaylord Box with Lid 5/bundle ",3762.75
S-4995,"20 x 16 x 16"" 275 lb Double Wall Corrugated Boxes 10/bundle ",3753.6000000000004
S-1081S,"Steel Strapping Skid Lot - Standard Grade, 1/2"" x .023"" x 2,688' 12   coils/skid ",3216.0
S-22043,"Uline Fast Tack Spray Adhesive - Low VOC, 14 oz ",3045.0
H-6328BL,"Pedestal Sign Holder - 8 1/2 x 11"", Black ",3005.0
S-423,"Uline Industrial Tape - 2 Mil, 2"" x 110 yds, Clear 36 rolls/case ",2958.12
S-6802,"Desktop Direct Thermal Labels - 4 x 6"" 250/roll ",2880.0
S-6264,"Industrial Direct Thermal Labels - 4 x 6"" 1,000/roll ",2772.0
H-3325BL,"Uline Flat Shelf Utility Cart - Standard, 44 x 25 x 33"", Black ",2650.0
S-11683,Oil-Dri&reg; Premium Bag - 35 lb ,2613.25
S-209,"""Invoice Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton ",2552.0
S-2190,"Uline Stretch Wrap - Cast, 80 gauge, 18"" x 1,500' 4 rolls/case ",2520.0
S-4125,"12 x 12 x 12"" Corrugated Boxes 25/bundle ",2479.75
S-445,"Uline Industrial Tape - 2 Mil, 3"" x 110 yds, Clear 24 rolls/case ",2389.2
H-3256,"Wide Span Storage Rack - Wire Decking, 96 x 36 x 72"" ",2200.0
S-4854,"13 x 10 x 5"" Corrugated Boxes 25/bundle ",2184.5
S-4219,"24 x 18 x 12"" Corrugated Boxes 10/bundle ",2087.8
S-3000,"Polyester Strapping - Green, 1/2"" x .021"" x 9,000' ",2066.0
S-16753,"17 x 12 x 10"" Corrugated Boxes 25/bundle ",1904.0
S-7247,"Universal Sorbent Pads - 15 x 19"", Heavy 100/carton ",1804.0
S-3927P,"Economy Bubble Roll - 12"" x 750', 3/16"", Perforated 4 rolls/bundle ",1764.0
S-6671,"Uline Stretch Wrap Skid Lot - Cast, 70 gauge, 18"" x 1,500' 96   rolls/skid ",1675.2
S-7127,"Uline Deluxe Multi-Fold Towels 4,000 sheets/case ",1672.0
S-207,"""Packing List Enclosed"" Banner Envelopes - Orange, 4 1/2 x 5 1/2""   1,000/carton ",1581.0
S-6669,"Uline Stretch Wrap Skid Lot - Blown, 70 gauge, 18"" x 1,500' 96   rolls/skid ",1579.2
S-7815,"American Flag Packing List Envelopes - 4 1/2 x 5 1/2"" 1,000/carton ",1530.0
S-16769,"44 x 12 x 12"" Long Corrugated Boxes 15/bundle ",1473.75
S-8145,"Uline Machine Length Stretch Film - Blown, 70 gauge, 20'' x 6,000' ",1456.0
S-4913,"28 x 8 x 8"" Long Corrugated Boxes 25/bundle ",1433.0
S-12404,"Jumbo Natural Nylon Cable Ties - 30"", 250 lb 100/pack ",1424.0
S-7541P,"Heavy Duty Bubble Roll - 12"" x 250', 1/2"", Perforated 4 rolls/bundle ",1420.0
S-642,"Uline Stretch Wrap - Blown, 80 gauge, 18"" x 1,500' 4 rolls/case ",1360.0
S-8278P,"Economy Bubble Roll - 16"" x 375', 5/16"", Perforated 3 rolls/bundle ",1359.0
S-4201,"20 x 20 x 20"" Corrugated Boxes 10/bundle ",1295.0
S-4542,"20 x 14 x 6"" Corrugated Boxes 25/bundle ",1278.75
S-313,Uline Fast Tack Spray Adhesive - 11.5 oz ,1241.5
S-7131,Uline Toilet Tissue 96 rolls/case ,1232.0
S-4084,"8 x 8 x 8"" Corrugated Boxes 25/bundle ",1204.5
S-10665,"40 x 12 x 12"" Long Corrugated Boxes 15/bundle ",1161.0
S-5968,"""Packing List &/or Invoice Enclosed"" Banner Envelopes - Orange, 4 1/2   x 5 1/2"" 1,000/carton ",1146.0
S-821,"Uline Poly Strapping - 1/2"" x .024"" x 7,200', Black ",1087.0
S-22173,"8 x 4 x 4"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",1073.0
S-17293,"Universal Sorbent Pads - 15 x 19"", Light 200/carton ",1020.0
H-1915BL,"Vertical File Cabinet - Letter, 4 Drawer, Black ",1005.0
S-4160,"16 x 12 x 10"" Corrugated Boxes 25/bundle ",994.0
H-1915T,"Vertical File Cabinet - Letter, 4 Drawer, Tan ",990.0
S-4618,"12 x 12 x 40"" Tall Corrugated Boxes 15/bundle ",961.8
S-1831,"Uline Econo-Wrapper&reg; - Cast, 80 gauge, 20"" x 1,000' 4 rolls/case ",936.0
S-23949,"7 x 7 x 48"" Tall Corrugated Boxes 25/bundle ",934.5
S-19816,"24 x 14 x 20"" Corrugated Boxes 15/bundle ",924.0
S-3575,"30 lb Kraft Paper Roll - 24"" x 1,200' ",918.0
S-4574,"48 x 8 x 8"" Long Corrugated Boxes 20/bundle ",906.0
H-2917,Adjustable Width Pallet Truck ,895.0
H-1366,"Uline Pallet Truck - Short/Narrow Fork, 36 x 21"" ",890.0
S-825,"Steel Strapping - Standard Grade, 1/2"" x .020"" x 3,087' ",864.0
S-4534,"15 x 15 x 20"" Corrugated Boxes 25/bundle ",840.0
S-2105,"Uline Stretch Wrap - Blown, 70 gauge, 18"" x 1,500' 4 rolls/case ",836.0
H-6982,"Adjustable Height Machine Table - 36 x 24 x 30-37"" ",835.0
H-8404-STEEL,"L-Shaped Industrial Packing Table - 72 x 78"", Steel Top ",835.0
H-3657-STEEL,"Industrial Packing Table - 48 x 36"", Steel Top ",830.0
H-5036,"Rubbermaid&reg; Plastic Platform Truck - 30 x 60"" ",825.0
S-4190,"26 x 26 x 26"" Corrugated Boxes 10/bundle ",806.0
S-4335,"12 x 9 x 9"" Corrugated Boxes 25/bundle ",792.0
S-16464,"48 x 12 x 12"" 275 lb Double Wall Corrugated Boxes 10/bundle ",790.2
S-4185,"18 x 18 x 18"" Corrugated Boxes 20/bundle ",756.0
S-15048,"14 x 12 x 10"" 275 lb Heavy Duty Corrugated Boxes 25/bundle ",738.75
S-4062,"6 x 6 x 6"" Corrugated Boxes 25/bundle ",708.75
S-11684,Oil-Dri&reg; Quick-Sorb&trade; Pail - 20 lb ,687.75
H-4122,"Uline Pallet Truck - Short/Extra Narrow Fork, 36 x 16"" ",645.0
S-7711,Uline Paper Towels 30 rolls/case ,630.0
H-5780,Infrared Heater - Indoor ,620.0
S-18484,Folgers&reg; Classic Roast Filter Packs - Regular 40 packets/box ,616.0
S-6684P,"Economy Bubble Roll - 24"" x 375', 5/16"", Perforated 2 rolls/bundle ",600.0
S-12889,"Oil Only Sorbent Pads - 15 x 19"", Light 100/carton ",600.0
S-1524,"Uline Machine Length Stretch Film - Cast, 80 gauge, 20"" x 6,000' ",588.0
S-19852,"12 x 9 x 9"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",581.0
S-6870,Cottonelle&reg; Toilet Tissue 60 rolls/case ,581.0
H-2504BL,"Uline Utility Cart - Standard, 45 x 25 x 33"", Black ",580.0
S-6668,"Uline Machine Length Stretch Film - Cast, 70 gauge, 20"" x 6,500' ",570.0
S-19062,"10 x 8 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",567.0
H-6744GR,"Uline Double Tier Lockers - 3 Wide, Unassembled, 45"" Wide, 18"" Deep,   Gray ",565.0
S-22044,"Uline Heavy Duty Spray Adhesive - Low VOC, 12 oz ",549.0
S-4243,"24 x 12 x 12"" Corrugated Boxes 20/bundle ",546.0
H-4119BL,Foam Padded Mesh Chair - Black ,543.0
S-16847L,Uline Heavy Utility Gloves - Large ,529.0
S-4883,"7 x 7 x 10"" Corrugated Boxes 25/bundle ",521.5
H-7661,Swivel Shop Stool with Backrest ,520.0
S-4060,"6 x 4 x 4"" Corrugated Boxes 25/bundle ",499.5
H-384R,Sharpie&reg; Magnum Markers - Red ,494.4
S-2328,"""Invoice Enclosed"" Banner Envelopes - Red, 4 1/2 x 6"" 1,000/carton ",492.0
S-14775,"Foam Cups - 10 oz 1,000/case ",485.0
S-4105,"10 x 10 x 10"" Corrugated Boxes 25/bundle ",462.0
S-10666,"48 x 10 x 10"" Long Corrugated Boxes 20/bundle ",460.0
H-1484,"Uline Pallet Truck - Short Fork, 36 x 27"" ",455.0
S-17297,"Oil Only Sorbent Pads - 15 x 19"", Medium 100/carton ",455.0
H-279,Uline Deluxe Steel Strapping Cart ,450.0
H-1193,"Uline Pallet Truck - Narrow Fork, 48 x 21"" ",445.0
S-4040,"4 x 4 x 4"" Corrugated Boxes 25/bundle ",440.0
S-5150,"Uline Self-Seal White Bubble Mailers #5 - 10 1/2 x 16"" 100/case ",432.0
S-18350,"16 x 16 x 8"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",426.0
S-4135,"6 x 6 x 36"" Tall Corrugated Boxes 25/bundle ",395.0
H-3587,"Plastic Shelving - 36 x 24 x 75"" ",395.0
S-3930P,"Economy Bubble Roll - 12"" x 250', 1/2"", Perforated 4 rolls/bundle ",384.0
S-25369,Bounty&reg; Select-A-Size Paper Towels 12 rolls/case ,380.0
H-3657-LAM,"Industrial Packing Table - 48 x 36"", Laminate Top ",370.0
S-16847X,Uline Heavy Utility Gloves - XL ,368.0
S-2599P,"Foam Roll - Perforated, 1/32"", 6"" x 2,000' 12 rolls/bundle ",360.0
S-4218,"24 x 16 x 16"" Corrugated Boxes 10/bundle ",350.4
S-4663,"26 x 16 x 14"" Corrugated Boxes 15/bundle ",348.75
S-6860,"Foam Cups - 12 oz 1,000/case ",345.0
S-4142,"14 x 14 x 14"" Corrugated Boxes 25/bundle ",344.0
H-7668,Big and Tall Work Stool ,335.0
S-2157,"Polyester Strapping Seals - Gripper, 1/2"" 1,000/carton ",324.0
S-5897,"Uline Self-Seal White Bubble CD Mailers - 7 1/4 x 8"" 200/case ",322.0
S-17294,"Universal Sorbent Pads - 15 x 19"", Medium 100/carton ",320.0
H-3248,"Wide Span Storage Rack - Wire Decking, 60 x 36 x 72"" ",306.0
S-13727,"Uline Deluxe Paper Roll Towels - 8"" x 800' 6/case ",300.0
S-16847XX,Uline Heavy Utility Gloves - 2XL ,299.0
S-5736,"Economy Strapping Tape - 1"" x 60 yds 36 rolls/case ",298.8
S-24385L,Gatorade&reg; Single Packs - Lemon-Lime 80/case ,298.0
S-24385ORG,Gatorade&reg; Single Packs - Orange 80/case ,298.0
S-4994,"20 x 14 x 4"" Corrugated Boxes 25/bundle ",294.0
H-2504G,"Uline Utility Cart - Standard, 45 x 25 x 33"", Green ",290.0
H-6863-WOOD,"Industrial Packing Table - 48 x 24"", Composite Wood Top ",290.0
S-18368,"26 x 16 x 16"" Corrugated Boxes 15/bundle ",286.8
S-284,"IBM Style Open End Packing List Envelopes - Clear, 4 3/8 x 9""   1,000/carton ",284.0
S-8363,"Desktop Direct Thermal Labels - 3 x 2"" 700/roll ",276.0
H-7065,"Uline Ratchet Tie-Downs - E-Track, 2"" x 20' ",259.0
S-24148BL,"Pilot&reg; G-2&reg; Gel Pen - Bold Tip, Black ",258.0
S-20661,Uline Antibacterial Hand Soap - 7.5 oz Dispenser ,256.5
S-828,"Steel Strapping Seals - Open, 3/4"" 1,000/carton ",254.0
S-4196,"20 x 14 x 10"" Corrugated Boxes 20/bundle ",247.0
S-12700BL,"Uline Pallet Markers - Chisel-Tip, Black ",246.60000000000002
S-19459FRESH,"Uline Disinfecting Wipes - Fresh Scent, 75 ct ",246.0
H-3155,"Chrome Mobile Shelving - 36 x 24 x 69"" ",245.0
S-3405,Industrial Sweeping Compound - 50 lb Box ,244.0
S-11442Y,"Removable Adhesive Circle Labels - Fluorescent Yellow, 2"" 1,000/roll ",234.0
S-21324W,"Drawstring Trash Liners - 1 Mil, 23-30 Gallon, White 200/carton ",232.0
S-22393,"Uline Economy White Poly Bubble Mailers #1 - 7 1/4 x 12"" 100/case ",232.0
S-4366,"30 x 30 x 30"" Corrugated Boxes 5/bundle ",223.2
S-24385F,Gatorade&reg; Single Packs - Fruit Punch 80/case ,223.0
S-4525,"12 x 12 x 48"" Tall Corrugated Boxes 15/bundle ",222.0
S-12808ALOE,"Purell&reg; Hand Sanitizer - 12 oz, Aloe ",216.0
S-4661,"25 x 16 x 16"" Corrugated Boxes 10/bundle ",212.5
H-3102,"Anti-Fatigue Mat - 5/8"" thick, 2 x 10', Black ",204.0
S-25098,Single-Serve Cappuccino Cups - French Vanilla 24/box ,204.0
S-6869,Scott&reg; Toilet Tissue 80 rolls/case ,204.0
H-531,"High Tensile Steel Strapping Sealer - 3/4"" ",200.0
H-2922T,"Mail Sorter - Steel, 15 Compartment, Tan ",195.0
S-4172,"17 x 17 x 17"" Corrugated Boxes 25/bundle ",192.5
S-22748BL,"Uline Comfort Grip Ballpoint Pen - Medium Tip, Black ",191.4
S-4876,"6 x 6 x 6"" 275 lb Heavy Duty Corrugated Boxes 25/bundle ",190.0
H-6347,Uline Standard Janitor Cart ,190.0
H-8094,Deluxe Heat Gun ,190.0
S-24855,"Uline Disinfectant Spray - Linen Scent, 19 oz Spray Can ",186.0
H-9289,180-Piece Shop Tool Set ,185.0
S-2107,"Uline Stretch Wrap - Blown, 90 gauge, 15"" x 1,500' 4 rolls/case ",184.0
S-512,"Poly Strapping Seals - Open, 1/2"" 1,000/carton ",180.0
S-13677R,Uline Tamper Evident Plastic Truck Seals - Red 100/Pack ,180.0
H-2055,"Uline Loop Handle Steel Hand Truck - 16"" XL Nose Plate, Solid Wheels ",170.0
H-2938-72,"Chrome Wire Shelving Unit - 24 x 18 x 72"" ",169.0
H-3831,"Contractors Broom - 36"", Medium Bristles ",164.0
S-17298,"Oil Only Sorbent Pads - 15 x 19"", Heavy 100/carton ",164.0
H-1598,"LiftAll&reg; Ratchet Tie Downs - E-Track, 2"" x 16' ",162.0
S-16882BL-L,"Uline Gription&reg; Flex Latex Coated Gloves - Black, Large 12   pairs/carton ",162.0
S-4166,"16 x 16 x 16"" Corrugated Boxes 25/bundle ",162.0
S-7217,"Uline Kraft Paper Roll Towels - 8"" x 350' 12 rolls/case ",160.0
H-573,Uline Deluxe Strapping Tensioner ,160.0
S-6683P,"Economy Bubble Roll - 12"" x 375', 5/16"", Perforated 4 rolls/bundle ",156.0
H-242,Industrial Steel Strapping Tensioner ,153.0
S-14266,"10 x 10 x 12"" Corrugated Boxes 25/bundle ",153.0
S-21355,N'Joy Sugar - 20 oz 3/box ,152.5
S-4456,"18 x 18 x 16"" Corrugated Boxes 20/bundle ",152.39999999999998
S-18412,"Microfiber Deluxe Dust Mop Replacement Head - 48"" ",150.0
S-24148R,"Pilot&reg; G-2&reg; Gel Pen - Bold Tip, Red ",150.0
H-11664,"Uline Hi-Vis Retractable Ratchet Tie-Downs - S-Hook, 2"" x 10', 3,300   lb Capacity ",150.0
S-18499,"Uline Paper Plates - 10 1/4"", Heavyweight 250/case ",147.0
H-2504Y,"Uline Utility Cart - Standard, 45 x 25 x 33"", Yellow ",145.0
H-2504BLU,"Uline Utility Cart - Standard, 45 x 25 x 33"", Blue ",145.0
H-2504R,"Uline Utility Cart - Standard, 45 x 25 x 33"", Red ",145.0
H-2938-72A,"Chrome Wire Shelving Add-On Unit - 24 x 18 x 72"" ",145.0
H-1786,Uline Loop Handle Steel Hand Truck - Solid Wheels ,145.0
H-351,"Industrial Steel Strapping Sealer - 1/2"" ",142.0
S-17295,"Universal Sorbent Rolls - 30"" x 150', Medium ",138.0
H-714BL,"Anti-Fatigue Mat - 3/8"" thick, 3 x 15', Black ",137.0
S-4911,"25 x 25 x 20"" Corrugated Boxes 10/bundle ",136.6
S-13677Y,Uline Tamper Evident Plastic Truck Seals - Yellow 100/Pack ,135.0
H-540,Uline Industrial Poly Strapping Tensioner ,132.0
S-10331,"Uline Steel Tuff&reg; Trash Liners - 55 Gallon, 1.7 Mil 50/carton ",132.0
S-13296,"13 x 10 x 6"" Corrugated Boxes 25/bundle ",131.0
H-2755BL,Uline Folding Knife - Black ,128.0
S-7805,"Self-Seal Envelopes - Kraft, 9 x 12"" 100/case ",126.0
H-2456,Pallet Truck Stop ,126.0
H-6980,"Adjustable Height Machine Table - 24 x 18 x 30-37"" ",125.0
H-10882,Job Site Light ,125.0
H-8532ORG,Heavy Duty Rolling Z-Rack - Orange ,125.0
S-2568RED,"Blank Inventory Rectangle Labels - Red, 2 x 3"" 500/roll ",124.0
S-6873,Kleenex&reg; Boutique Facial Tissue 36 boxes/case ,121.0
H-595,Economy Cutter 12/box ,120.0
S-21989,Single-Serve Hot Cocoa Cups - Milk Chocolate 24/box ,120.0
H-6112,Two-Way Radios ,120.0
H-543R,Uline Plastic Truck Seals - Red 100/Pack ,114.0
S-16882BL-X,"Uline Gription&reg; Flex Latex Coated Gloves - Black, XL 12   pairs/carton ",108.0
H-6054,"Professional Microfiber Duster - 19"" ",108.0
S-23310,"13 x 10 x 6"" Lightweight 32 ECT Corrugated Boxes 25/bundle ",107.0
H-1621,"Contractors Broom - 30"", Medium Bristles ",105.0
S-17321R,Inventory Control Cones - Red ,105.0
S-23220,Kleenex&reg; Deluxe Facial Tissue 27 boxes/case ,102.0
S-25708,Glad&reg; ForceFlex&reg; Fresh Scent Drawstring Trash Bags - 13   Gallon 110/box ,102.0
S-2210,"40 lb Kraft Paper Roll - 36"" x 900' ",100.0
S-21088-L,Uline Ultra-Lite Polyurethane Coated Gloves - Large 12 pair/carton ,100.0
H-3687O,"Uline Trash Can - 32 Gallon, Orange ",99.0
S-7839,"Uline Save A Buck Reinforced Kraft Tape - 2.75"" x 450' 10 rolls/case ",99.0
H-2755BLU,Uline Folding Knife - Blue ,97.5
S-24892,Folgers&reg; Regular Classic Roast Coffee ,96.0
S-22358,Uline Premium Blend Coffee - Medium Dark Roast 12/box ,96.0
